name,rated_movies,averageRating
James Yi,1,9.9
Diana Bang,1,9.9
Ghassan Massoud,1,9.5
Fatym Layachi,1,9.4
Peter King Nzioki Mwania,1,9.4
Aurélie Eliam,1,9.4
Nico Panagio,1,9.4
Kayli Carter,1,9.4
Angélique Kidjo,1,9.4
Wakana Sakai,1,9.2
Mao Daichi,1,9.2
Mirei Kiritani,1,9.2
Nicole Ishida,1,9.2
Ryu Jun-yeol,1,9.2
Maiko,1,9.2
Ken Kaito,1,9.2
Lee Hye-ri,1,9.2
Masako Chiba,1,9.2
Mayuko Kawakita,1,9.2
Dennis Rodman,1,9.1
Michael Jordan,1,9.1
Scottie Pippen,1,9.1
Yu Shimamura,1,9.1
Lee Sun-kyun,1,9.1
Shiori Mikami,1,9.1
Tomohisa Hashizume,1,9.1
Yusaku Yara,1,9.1
Saki Fujita,1,9.1
Song Sae-byeok,1,9.1
Revathi Pillai,1,9.0
Ruhi Khan,1,9.0
Małgorzata Gebel,1,9.0
Shmulik Levy,1,9.0
Charles Techman,1,9.0
Joyce Feurring,1,9.0
Brian Anthony Wilson,1,9.0
Jeffrey DeMunn,1,9.0
Ahan Nirban,1,9.0
Jonathan Sagall,1,9.0
Akarsh Khurana,1,9.0
Andrzej Seweryn,1,9.0
Beatrice Macola,1,9.0
Steven Rishard,1,9.0
Prasad Reddy,1,9.0
David Attenborough,8,8.925
Hassan Moustafa,1,8.9
Samina Peerzada,1,8.9
Asante Blackk,1,8.9
Caleel Harris,1,8.9
Ethan Herisse,1,8.9
Jovan Adepo,1,8.9
Orlando Bloom,2,8.9
Dominic Monaghan,2,8.9
Justin Cunningham,1,8.9
Freddy Miyares,1,8.9
Kylie Bunbury,1,8.9
Atiqa Odho,1,8.9
Naveen Waqar,1,8.9
Sara Kashif,1,8.9
Saeed Saleh,1,8.9
Ahmad Zaki,1,8.9
Hadi El-Gayyar,1,8.9
Amanda Plummer,1,8.9
Younes Shalabi,1,8.9
Adel Emam,1,8.9
Suhair El-Babili,1,8.9
Waseem Abbas,1,8.9
Hina Khawaja Bayat,1,8.9
Ayesha Omer,1,8.9
Sanam Saeed,1,8.9
Sumeet Vyas,1,8.8
Zaela Rae,1,8.8
Elliot Page,1,8.8
Mason Wells,1,8.8
Warren Frost,1,8.8
Makenzie Lee-Foster,1,8.8
Pari Telang,1,8.8
S. Joshi,1,8.8
Richard Beymer,1,8.8
Mädchen Amick,1,8.8
Emily Callandrelli,1,8.8
Sky Alexis,1,8.8
Kennedi Butler,1,8.8
Tenz McCall,1,8.8
Christopher Farrar,1,8.8
Alex Jayne Go,1,8.8
Jayden Langarcia,1,8.8
Sanjay Goradia,1,8.8
Arya Darbahani,1,8.8
Dileep Rao,1,8.8
Cristina Lago,1,8.8
Wang Yibo,1,8.8
Slamet Rahardjo,1,8.8
Mel Lisboa,1,8.8
André Ramiro,1,8.8
Ravel Cabral,1,8.8
Peggy Lipton,1,8.8
Zoey Meng,1,8.8
Guilherme Fontes,1,8.8
Xuan Lu,1,8.8
Sean Xiao,1,8.8
Eric DaRe,1,8.8
Grace Zabriskie,1,8.8
Wendy Robie,1,8.8
Russ Tamblyn,1,8.8
Gary Hershberger,1,8.8
Prisia Nasution,1,8.8
Don S. Davis,1,8.8
Yu Bin,1,8.8
Harry Goaz,1,8.8
James Marshall,1,8.8
Liu Haikuan,1,8.8
Zhu Zanjin,1,8.8
Wang Haoxuan,1,8.8
Everett McGill,1,8.8
Ji Li,1,8.8
Jack Nance,1,8.8
Kimmy Robertson,1,8.8
Wang Zhuocheng,1,8.8
Ko Kyoung-pyo,2,8.75
Héctor Alterio,1,8.7
Kenan İmirzalıoğlu,1,8.7
Kim Jung-nan,1,8.7
Eduardo Blanco,1,8.7
Kim Jung-hyun,1,8.7
Kim Kwon,1,8.7
Jo Bok-rae,1,8.7
Cheong Hae-kyun,1,8.7
Song Kang,1,8.7
Cansu Dere,1,8.7
Park In-hwan,1,8.7
Kisho Taniyama,2,8.7
Tuncel Kurtiz,1,8.7
Yiğit Özşener,1,8.7
Barış Falay,1,8.7
Burçin Terzioğlu,1,8.7
Sarp Akkaya,1,8.7
Pablo Rago,1,8.7
Berrak Tüzünataç,1,8.7
Ai Kakuma,1,8.7
Takumi Yamazaki,1,8.7
İsmail Filiz,1,8.7
Hwangwoo Seul-hye,1,8.7
Marcus Chong,1,8.7
Julian Arahanga,1,8.7
Matt Doran,1,8.7
Belinda McClory,1,8.7
Darío Valenzuela,1,8.7
Na Moon-hee,1,8.7
Giulia Michelini,1,8.7
Yoo Yeon-seok,1,8.7
Carlos Kaspar,1,8.7
Tim DeKay,1,8.7
Mark Hefti,1,8.7
Kim Min-jung,1,8.7
James Kyson,1,8.7
Marianne Rendón,2,8.6
Ève Landry,1,8.6
Hong Seung-hee,2,8.6
Candela Antón,1,8.6
Albert Baró,1,8.6
Adrian Grösser,1,8.6
Marcos Franz,1,8.6
Pau Poch,1,8.6
Elisabet Casanovas,1,8.6
Mélissa Bédard,1,8.6
Ryu Hye-young,2,8.6
Iñaki Mur,1,8.6
Pau Durà,1,8.6
Mar del Hoyo,1,8.6
Rubén de Eguia,1,8.6
Patrícia Bargalló,1,8.6
Adrian Petriw,1,8.6
Connor Parnall,1,8.6
Alex Barima,1,8.6
Florence Longpré,1,8.6
Marielle Heller,1,8.6
Pep Jové,1,8.6
Karen Robinson,1,8.6
Noah Reid,1,8.6
Sarah Levy,1,8.6
Emily Hampshire,1,8.6
Annie Murphy,1,8.6
Daniel Levy,1,8.6
Jacob Fortune-Lloyd,1,8.6
Rebecca Root,1,8.6
Christiane Seidel,1,8.6
Isla Johnston,1,8.6
Moses Ingram,1,8.6
Assun Planas,1,8.6
Júlia Creus,1,8.6
Anna Maria Barbany,1,8.6
Kim Soo-hyun,1,8.6
Leandro Firmino,1,8.6
Phellipe Haagensen,1,8.6
Daniela Denby-Ashe,1,8.6
Jo Joyner,1,8.6
Timothy Hutton,1,8.6
Paxton Singleton,1,8.6
Gagandeep Singh,1,8.6
Jai Bharti,1,8.6
Master Yuvraj,1,8.6
Julian Hilliard,1,8.6
Marta Marco,1,8.6
Arvinder Bhatti,1,8.6
Avrinder Kaur,1,8.6
Arjuna Bhalla,1,8.6
Sudhanshu Aggarwal,1,8.6
Alexandre Rodrigues,1,8.6
Douglas Silva,1,8.6
Seo Yea-ji,1,8.6
Pepa López,1,8.6
Jordi Martínez,1,8.6
Victòria Pagès,1,8.6
Marta Domingo,1,8.6
Anna Ycobalzeta,1,8.6
Jefechander Suplino,1,8.6
Violet McGraw,1,8.6
Pauline Quirke,1,8.6
Kay Lyon,1,8.6
George McGavin,1,8.6
Jang Young-nam,1,8.6
Seu Jorge,1,8.6
Matheus Nachtergaele,1,8.6
Byun Yo-han,2,8.6
Park Gyu-young,1,8.6
Keiji Fujiwara,3,8.566666666666668
Chinonye Chidolue,1,8.5
Junko Iwao,1,8.5
Emmanuel Emelu,1,8.5
Obi Okolie,1,8.5
Zynnell Zuh,1,8.5
Jennifer Lien,1,8.5
Avery Brooks,1,8.5
Mugihito,1,8.5
Bindiya Goswami,1,8.5
Tetsuya Iwanaga,1,8.5
Im Si-wan,1,8.5
Go Du-sim,2,8.5
Andy Whitfield,1,8.5
Amit Behl,1,8.5
Shin Eun-jung,1,8.5
Kim Dae-myeong,1,8.5
Guy Torry,1,8.5
Kang So-ra,1,8.5
William Russ,1,8.5
Miki Nagasawa,1,8.5
Pushpa,1,8.5
Kotono Mitsuishi,2,8.5
Yuriko Yamaguchi,1,8.5
Megumi Hayashibara,1,8.5
Yuko Miyamura,1,8.5
Motomu Kiyokawa,1,8.5
Hiro Yuki,1,8.5
Maleeka Ghai,1,8.5
Lorenzo Menakaya,1,8.5
Aarya DharmChand Kumar,1,8.5
Jeong Hae-gyoon,1,8.5
Lee Yu-jun,1,8.5
Son Hyeon-ju,1,8.5
Anjali Rana,1,8.5
A.R. Rahman,1,8.5
Lionel Stander,1,8.5
Frank Wolff,1,8.5
Keenan Wynn,1,8.5
Jack Elam,1,8.5
Woody Strode,1,8.5
Paolo Stoppa,1,8.5
Gabriele Ferzetti,1,8.5
Charles Bronson,1,8.5
Shun Oguri,1,8.5
Koji Yamamoto,1,8.5
Songha,1,8.5
Ryo,1,8.5
Munetaka Aoki,1,8.5
Nana Seino,1,8.5
Yoshimasa Kondo,1,8.5
Arata Furuta,1,8.5
Frank Finlay,1,8.5
Maureen Lipman,1,8.5
Shioli Kutsuna,1,8.5
Raymond Nicholson,1,8.5
Nao Omori,1,8.5
Emilia Fox,1,8.5
Gopal Dutt Tiwari,1,8.5
Jung Han-bi,1,8.5
Jang Hyun-sung,1,8.5
Vinod Sharawat,1,8.5
Cho Jin-woong,1,8.5
Bruce Springsteen,1,8.5
Robert V. Barron,1,8.5
Robert Axelrod,1,8.5
Larry Abraham,1,8.5
Tony Oliver,1,8.5
Melissa Newman,1,8.5
Gregory Snegoff,1,8.5
Jean-Claude Ballard,1,8.5
Zhang Zhehan,1,8.5
Gong Jun,1,8.5
Zhou Ye,1,8.5
Asher Ma,1,8.5
Sun Xilun,1,8.5
Chen Zihan,1,8.5
Rolling Wang,1,8.5
Zhang Yonggang,1,8.5
Li Daikun,1,8.5
Ayrton Senna,1,8.5
Alain Prost,1,8.5
Frank Williams,1,8.5
Nien Hsuan Wu,1,8.5
Nana Lee,1,8.5
Jeanine Yang,1,8.5
Huang Youming,1,8.5
Damon Guo,1,8.5
Lim Won-hee,1,8.5
Kim Hye-su,1,8.5
Mridul Sharma,1,8.5
Gaurav Rana,1,8.5
Ed Stoppard,1,8.5
Dinesh Mehta,1,8.5
Megumi Toyoguchi,1,8.5
Settar Tanrıöğen,1,8.5
Defne Kayalar,1,8.5
Satomi Koorogi,1,8.5
Abby Miller,1,8.5
Joséphine de Meaux,1,8.5
Mayumi Yamaguchi,1,8.5
Clotilde Mollet,1,8.5
Cyril Mendy,1,8.5
Makoto Nagai,1,8.5
King Bawa,1,8.5
Takehiro Murozono,1,8.5
Julia Rayner,1,8.5
Yasunori Matsumoto,1,8.5
Yasuhiro Takato,1,8.5
Yuko Sato,1,8.5
Miyoko Aso,1,8.5
Bige Önal,1,8.5
Tülin Özen,1,8.5
Brigitte Kali Canales,1,8.5
Daniel Sloss,1,8.5
Frédéric Meaux,1,8.5
Bruno Mullenaerts,1,8.5
Carole Baillien,1,8.5
Géraldine Frippiat,1,8.5
Marie-Line Landerwyn,1,8.5
Andrea Cortes,1,8.5
Raphaelle Bruneau,1,8.5
Sophie Landresse,1,8.5
Pushkar Goggiaa,1,8.5
Jessica Kate Meyer,1,8.5
Ruth Platt,1,8.5
Ankit Arora,1,8.5
Julia Vera,1,8.5
Dori Sakurada,2,8.45
Vera Spinetta,1,8.4
Nico García Hume,1,8.4
Guna Babu,1,8.4
Volkmar Kleinert,1,8.4
Patricio Aramburu,1,8.4
Alfonso Tort,1,8.4
Daniel Kuzniecka,1,8.4
Nevra Serezli,1,8.4
Ulrich Tukur,1,8.4
Ulrich Mühe,1,8.4
Yog Japee,1,8.4
Don Johnson,1,8.4
Escalante Lundy,1,8.4
Sammi Rotibi,1,8.4
Laura Cayouette,1,8.4
Nichole Galicia,1,8.4
David Steen,1,8.4
Dennis Christopher,1,8.4
Demet Taner,1,8.4
Cihat Tamer,1,8.4
Ferhan Şensoy,1,8.4
Lily Tomlin,1,8.4
Suat Sungur,1,8.4
Selma Sonat,1,8.4
Zeynep Oral,1,8.4
Perran Kutman,1,8.4
Kandemir Konduk,1,8.4
Dikmen Gürün,1,8.4
Ahmet Gülhan,1,8.4
Umur Bugay,1,8.4
Metin Akpınar,1,8.4
Ganesan Kaliamoorthy,1,8.4
G. M. Sundhar,1,8.4
Naga Vishal,1,8.4
Oisín O'Leary,1,8.4
Monty Don,1,8.4
Jeon Yeo-been,1,8.4
Ok Taec-yeon,1,8.4
Yoo Jae-myung,1,8.4
Kwak Dong-yeon,1,8.4
Aradhana Srivastav,1,8.4
Jugal Hansraj,1,8.4
Heidi Arena,1,8.4
Faith Seci,1,8.4
Madison Lu,1,8.4
Mu Ramaswamy,1,8.4
Olivia Deeble,1,8.4
Shin Min-a,1,8.4
Flynn Curry,1,8.4
Lee Sang-yi,1,8.4
Gong Min-jeung,1,8.4
Cha Cheong-hwa,1,8.4
Kang Hyung-suk,1,8.4
Seema,1,8.4
Imtiaz Ali,1,8.4
Vaidehi Parshurami,1,8.4
Nandita Patkar,1,8.4
Prasad Oak,1,8.4
Madison Reyes,1,8.4
Diego Peretti,1,8.4
Nancy Dupláa,1,8.4
Vin Diesel,1,8.4
Nasr Seif,1,8.4
Shawqi Shamekh,1,8.4
Sami Gawhar,1,8.4
Samir Waley Eldein,1,8.4
Saeed Tarabeek,1,8.4
Badr Nofal,1,8.4
Nazim Sharawy,1,8.4
Nahed Gabr,1,8.4
Sangili Murugan,1,8.4
Sonny Bustamante,1,8.4
Cheyenne Jackson,1,8.4
Savannah Lee May,1,8.4
Sacha Carlson,1,8.4
Jadah Marie,1,8.4
Owen Patrick Joyner,1,8.4
Charlie Gillespie,1,8.4
Joshua Sitch,1,8.4
Ned Dennehy,1,8.4
Tikriti Shabudin,1,8.4
Harvey Fierstein,1,8.4
Sherilyn Pang Li Ching,1,8.4
Shi An,1,8.4
Hai Yitian,1,8.4
Hou Yansong,1,8.4
Yu Mingjia,1,8.4
Liu Mintao,1,8.4
Mei Ting,1,8.4
Minori Chihara,1,8.4
Koki Uchiyama,1,8.4
Bai Jinting,1,8.4
Wang Ou,1,8.4
Kaustubh Kumar,1,8.4
Sapna Pabbi,1,8.4
Vikramjeet Virk,1,8.4
Yuan Hong,1,8.4
Ni Dahong,1,8.4
Chen Kun,1,8.4
Shao Tong,1,8.4
Caitriona Balfe,1,8.4
Sandip Pathak,1,8.4
Apoorva Arora,1,8.4
Genevieve O'Reilly,1,8.4
Patrick Brammall,1,8.4
Hira Ashar,1,8.4
Sean Keenan,1,8.4
Hannah Monson,1,8.4
John Leary,1,8.4
Rodger Corser,1,8.4
Andrew McFarlane,1,8.4
Luke Arnold,1,8.4
Rob Collins,1,8.4
Huang Mengying,1,8.4
Vengo Gao,1,8.4
Ken Chang,1,8.4
Mark Chao,1,8.4
Yang Mi,1,8.4
Austin Hébert,1,8.4
Keshav Sadhna,1,8.4
James Acaster,1,8.4
Zhang Xiaochen,1,8.4
Kyoo-hyung Lee,1,8.4
Mohit Gokhale,1,8.4
Joel Rush,1,8.4
